report_id,transcript,sentiment
1,"Quick and efficient service, thank you!",positive
2,Prompt assistance and professional handling.,positive
3,"I got some answers, but I’m still unclear about next steps.",neutral
4,Service was acceptable but not outstanding.,neutral
5,"Interaction was okay, but not very helpful.",neutral
6,Amazing customer experience — highly recommend.,positive
7,Very rude agent who didn't understand the issue.,negative
8,"I got some answers, but I’m still unclear about next steps.",neutral
9,I received conflicting information from different agents.,negative
10,Still waiting for a callback. Very unprofessional.,negative
11,The call dropped and no one called back.,negative
12,I had to wait for over 30 minutes before getting any help.,negative
13,Service was acceptable but not outstanding.,neutral
14,Service was acceptable but not outstanding.,neutral
15,I had to wait for over 30 minutes before getting any help.,negative
16,"Quick and efficient service, thank you!",positive
17,I had to wait for over 30 minutes before getting any help.,negative
18,The agent was very helpful and resolved my issue quickly.,positive
19,Absolutely terrible experience. I'm very dissatisfied.,negative
20,"Interaction was okay, but not very helpful.",neutral
21,"I got some answers, but I’m still unclear about next steps.",neutral
22,This is the third time I’ve contacted support for the same issue.,negative
23,Extremely poor handling of my request.,negative
24,Still waiting for a callback. Very unprofessional.,negative
25,"The process was confusing, but the staff tried to help.",neutral
26,Service was acceptable but not outstanding.,neutral
27,"I got some answers, but I’m still unclear about next steps.",neutral
28,Very satisfied with the resolution provided today.,positive
29,Issue was solved on the first try. Great job!,positive
30,Issue was solved on the first try. Great job!,positive
31,No one knew how to help. I was transferred multiple times.,negative
32,I received conflicting information from different agents.,negative
33,The agent was very helpful and resolved my issue quickly.,positive
34,"Agent followed protocol, but issue remains unresolved.",neutral
35,Prompt assistance and professional handling.,positive
36,"The issue was partially resolved, but I had to call again.",neutral
37,The outcome was neither good nor bad.,neutral
38,This is the third time I’ve contacted support for the same issue.,negative
39,Prompt assistance and professional handling.,positive
40,"Interaction was okay, but not very helpful.",neutral
41,I’m impressed by how smoothly everything went.,positive
42,"Interaction was okay, but not very helpful.",neutral
43,The agent was very helpful and resolved my issue quickly.,positive
44,"Interaction was okay, but not very helpful.",neutral
45,The representative was knowledgeable and kind.,positive
46,The representative was knowledgeable and kind.,positive
47,"Satisfactory, but could have been better.",neutral
48,I received conflicting information from different agents.,negative
49,"Agent followed protocol, but issue remains unresolved.",neutral
50,Service was acceptable but not outstanding.,neutral
51,The agent was very helpful and resolved my issue quickly.,positive
52,I received conflicting information from different agents.,negative
53,Very rude agent who didn't understand the issue.,negative
54,"The representative was kind, but couldn’t fix the issue.",neutral
55,"The process was confusing, but the staff tried to help.",neutral
56,Extremely poor handling of my request.,negative
57,I’m impressed by how smoothly everything went.,positive
58,The outcome was neither good nor bad.,neutral
59,I had to wait for over 30 minutes before getting any help.,negative
60,"The process was confusing, but the staff tried to help.",neutral
61,Excellent support. Everything went smoothly.,positive
62,I’m indifferent about the support experience.,neutral
63,I had to wait for over 30 minutes before getting any help.,negative
64,Very satisfied with the resolution provided today.,positive
65,Still waiting for a callback. Very unprofessional.,negative
66,Issue was solved on the first try. Great job!,positive
67,Very satisfied with the resolution provided today.,positive
68,"Satisfactory, but could have been better.",neutral
69,Excellent support. Everything went smoothly.,positive
70,The agent was very helpful and resolved my issue quickly.,positive
71,The representative was knowledgeable and kind.,positive
72,No one knew how to help. I was transferred multiple times.,negative
73,"Satisfactory, but could have been better.",neutral
74,"I got some answers, but I’m still unclear about next steps.",neutral
75,"Satisfactory, but could have been better.",neutral
76,Very satisfied with the resolution provided today.,positive
77,I received conflicting information from different agents.,negative
78,This is the third time I’ve contacted support for the same issue.,negative
79,"I got some answers, but I’m still unclear about next steps.",neutral
80,Nothing was resolved despite repeated calls.,negative
81,The representative was knowledgeable and kind.,positive
82,I’m impressed by how smoothly everything went.,positive
83,Excellent support. Everything went smoothly.,positive
84,Very satisfied with the resolution provided today.,positive
85,This is the third time I’ve contacted support for the same issue.,negative
86,The agent was very helpful and resolved my issue quickly.,positive
87,Issue was solved on the first try. Great job!,positive
88,Still waiting for a callback. Very unprofessional.,negative
89,I’m indifferent about the support experience.,neutral
90,I received conflicting information from different agents.,negative
91,I’m indifferent about the support experience.,neutral
92,"The process was confusing, but the staff tried to help.",neutral
93,"The process was confusing, but the staff tried to help.",neutral
94,No one knew how to help. I was transferred multiple times.,negative
95,I had to wait for over 30 minutes before getting any help.,negative
96,I had to wait for over 30 minutes before getting any help.,negative
97,I’m indifferent about the support experience.,neutral
98,The outcome was neither good nor bad.,neutral
99,"Quick and efficient service, thank you!",positive
100,The call dropped and no one called back.,negative
101,Excellent support. Everything went smoothly.,positive
102,"I got some answers, but I’m still unclear about next steps.",neutral
103,The agent was very helpful and resolved my issue quickly.,positive
104,Absolutely terrible experience. I'm very dissatisfied.,negative
105,The call dropped and no one called back.,negative
106,This is the third time I’ve contacted support for the same issue.,negative
107,"The representative was kind, but couldn’t fix the issue.",neutral
108,"Satisfactory, but could have been better.",neutral
109,"Quick and efficient service, thank you!",positive
110,Staff was courteous and effective.,positive
111,I’m impressed by how smoothly everything went.,positive
112,Amazing customer experience — highly recommend.,positive
113,Still waiting for a callback. Very unprofessional.,negative
114,Staff was courteous and effective.,positive
115,Amazing customer experience — highly recommend.,positive
116,Nothing was resolved despite repeated calls.,negative
117,"Quick and efficient service, thank you!",positive
118,Very satisfied with the resolution provided today.,positive
119,I had to wait for over 30 minutes before getting any help.,negative
